content_type,academic_year_label,teacher_employee_code,class_name,section_name,subject_code,title,description,type,total_marks,due_date,file_or_url
assessment,2026-27,FAC017,AIML Semester 2,A,AIML202,Python for AI II - Week 1,Professional mock content for Python for AI II,Quiz,30,2026-09-18,https://files.scholaris.demo.edu/content/aiml202-17.pdf
assignment,2026-27,FAC018,AIML Semester 2,B,AIML203,Data Visualization II - Week 2,Professional mock content for Data Visualization II,Assignment,35,2026-09-19,https://files.scholaris.demo.edu/content/aiml203-18.pdf
material,2026-27,FAC019,AIML Semester 2,A,AIML204,Statistics for Data Science II - Week 3,Professional mock content for Statistics for Data Science II,PDF,,,https://files.scholaris.demo.edu/content/aiml204-19.pdf
assessment,2026-27,FAC020,AIML Semester 2,B,AIML205,AI Workshop II - Week 4,Professional mock content for AI Workshop II,Quiz,25,2026-09-01,https://files.scholaris.demo.edu/content/aiml205-20.pdf
assignment,2026-27,FAC021,ECE Semester 1,A,ECE101,Engineering Mathematics I - Week 5,Professional mock content for Engineering Mathematics I,Assignment,30,2026-09-02,https://files.scholaris.demo.edu/content/ece101-21.pdf
material,2026-27,FAC022,ECE Semester 1,B,ECE102,Basic Electronics - Week 6,Professional mock content for Basic Electronics,PDF,,,https://files.scholaris.demo.edu/content/ece102-22.pdf
assessment,2026-27,FAC023,ECE Semester 1,A,ECE103,Network Analysis - Week 7,Professional mock content for Network Analysis,Quiz,40,2026-09-04,https://files.scholaris.demo.edu/content/ece103-23.pdf
assignment,2026-27,FAC024,ECE Semester 1,B,ECE104,Signals and Systems - Week 8,Professional mock content for Signals and Systems,Assignment,25,2026-09-05,https://files.scholaris.demo.edu/content/ece104-24.pdf
material,2026-27,FAC025,ECE Semester 1,A,ECE105,Electronic Workshop - Week 1,Professional mock content for Electronic Workshop,PDF,,,https://files.scholaris.demo.edu/content/ece105-25.pdf
assessment,2026-27,FAC026,ECE Semester 2,B,ECE201,Engineering Mathematics I II - Week 2,Professional mock content for Engineering Mathematics I II,Quiz,35,2026-09-07,https://files.scholaris.demo.edu/content/ece201-26.pdf
assignment,2026-27,FAC027,ECE Semester 2,A,ECE202,Basic Electronics II - Week 3,Professional mock content for Basic Electronics II,Assignment,40,2026-09-08,https://files.scholaris.demo.edu/content/ece202-27.pdf
material,2026-27,FAC028,ECE Semester 2,B,ECE203,Network Analysis II - Week 4,Professional mock content for Network Analysis II,PDF,,,https://files.scholaris.demo.edu/content/ece203-28.pdf
assessment,2026-27,FAC029,ECE Semester 2,A,ECE204,Signals and Systems II - Week 5,Professional mock content for Signals and Systems II,Quiz,30,2026-09-10,https://files.scholaris.demo.edu/content/ece204-29.pdf
assignment,2026-27,FAC030,ECE Semester 2,B,ECE205,Electronic Workshop II - Week 6,Professional mock content for Electronic Workshop II,Assignment,35,2026-09-11,https://files.scholaris.demo.edu/content/ece205-30.pdf
material,2026-27,FAC031,MECH Semester 1,A,MECH101,Engineering Mechanics - Week 7,Professional mock content for Engineering Mechanics,PDF,,,https://files.scholaris.demo.edu/content/mech101-31.pdf
assessment,2026-27,FAC032,MECH Semester 1,B,MECH102,Engineering Graphics - Week 8,Professional mock content for Engineering Graphics,Quiz,25,2026-09-13,https://files.scholaris.demo.edu/content/mech102-32.pdf
assignment,2026-27,FAC033,MECH Semester 1,A,MECH103,Manufacturing Process - Week 1,Professional mock content for Manufacturing Process,Assignment,30,2026-09-14,https://files.scholaris.demo.edu/content/mech103-33.pdf
material,2026-27,FAC034,MECH Semester 1,B,MECH104,Material Science - Week 2,Professional mock content for Material Science,PDF,,,https://files.scholaris.demo.edu/content/mech104-34.pdf
assessment,2026-27,FAC035,MECH Semester 1,A,MECH105,Workshop Practice - Week 3,Professional mock content for Workshop Practice,Quiz,40,2026-09-16,https://files.scholaris.demo.edu/content/mech105-35.pdf
assignment,2026-27,FAC036,MECH Semester 2,B,MECH201,Engineering Mechanics II - Week 4,Professional mock content for Engineering Mechanics II,Assignment,25,2026-09-17,https://files.scholaris.demo.edu/content/mech201-36.pdf
material,2026-27,FAC001,MECH Semester 2,A,MECH202,Engineering Graphics II - Week 5,Professional mock content for Engineering Graphics II,PDF,,,https://files.scholaris.demo.edu/content/mech202-37.pdf
assessment,2026-27,FAC002,MECH Semester 2,B,MECH203,Manufacturing Process II - Week 6,Professional mock content for Manufacturing Process II,Quiz,35,2026-09-19,https://files.scholaris.demo.edu/content/mech203-38.pdf
assignment,2026-27,FAC003,MECH Semester 2,A,MECH204,Material Science II - Week 7,Professional mock content for Material Science II,Assignment,40,2026-09-20,https://files.scholaris.demo.edu/content/mech204-39.pdf
material,2026-27,FAC004,MECH Semester 2,B,MECH205,Workshop Practice II - Week 8,Professional mock content for Workshop Practice II,PDF,,,https://files.scholaris.demo.edu/content/mech205-40.pdf
assessment,2026-27,FAC005,CA Semester 1,A,CA101,Programming in C - Week 1,Professional mock content for Programming in C,Quiz,30,2026-09-02,https://files.scholaris.demo.edu/content/ca101-41.pdf
assignment,2026-27,FAC006,CA Semester 1,B,CA102,Digital Computer Fundamentals - Week 2,Professional mock content for Digital Computer Fundamentals,Assignment,35,2026-09-03,https://files.scholaris.demo.edu/content/ca102-42.pdf
material,2026-27,FAC007,CA Semester 1,A,CA103,Mathematics for Computing - Week 3,Professional mock content for Mathematics for Computing,PDF,,,https://files.scholaris.demo.edu/content/ca103-43.pdf
assessment,2026-27,FAC008,CA Semester 1,B,CA104,Office Automation - Week 4,Professional mock content for Office Automation,Quiz,25,2026-09-05,https://files.scholaris.demo.edu/content/ca104-44.pdf
assignment,2026-27,FAC009,CA Semester 1,A,CA105,Web Fundamentals - Week 5,Professional mock content for Web Fundamentals,Assignment,30,2026-09-06,https://files.scholaris.demo.edu/content/ca105-45.pdf
material,2026-27,FAC010,CA Semester 2,B,CA201,Programming in C II - Week 6,Professional mock content for Programming in C II,PDF,,,https://files.scholaris.demo.edu/content/ca201-46.pdf
assessment,2026-27,FAC011,CA Semester 2,A,CA202,Digital Computer Fundamentals II - Week 7,Professional mock content for Digital Computer Fundamentals II,Quiz,40,2026-09-08,https://files.scholaris.demo.edu/content/ca202-47.pdf
assignment,2026-27,FAC012,CA Semester 2,B,CA203,Mathematics for Computing II - Week 8,Professional mock content for Mathematics for Computing II,Assignment,25,2026-09-09,https://files.scholaris.demo.edu/content/ca203-48.pdf
material,2026-27,FAC013,CA Semester 2,A,CA204,Office Automation II - Week 1,Professional mock content for Office Automation II,PDF,,,https://files.scholaris.demo.edu/content/ca204-49.pdf
assessment,2026-27,FAC014,CA Semester 2,B,CA205,Web Fundamentals II - Week 2,Professional mock content for Web Fundamentals II,Quiz,35,2026-09-11,https://files.scholaris.demo.edu/content/ca205-50.pdf
assignment,2026-27,FAC015,BA Semester 1,A,BA101,Principles of Management - Week 3,Professional mock content for Principles of Management,Assignment,40,2026-09-12,https://files.scholaris.demo.edu/content/ba101-51.pdf
material,2026-27,FAC016,BA Semester 1,B,BA102,Business Economics - Week 4,Professional mock content for Business Economics,PDF,,,https://files.scholaris.demo.edu/content/ba102-52.pdf
assessment,2026-27,FAC017,BA Semester 1,A,BA103,Business Mathematics - Week 5,Professional mock content for Business Mathematics,Quiz,30,2026-09-14,https://files.scholaris.demo.edu/content/ba103-53.pdf
assignment,2026-27,FAC018,BA Semester 1,B,BA104,Organizational Behaviour - Week 6,Professional mock content for Organizational Behaviour,Assignment,35,2026-09-15,https://files.scholaris.demo.edu/content/ba104-54.pdf
material,2026-27,FAC019,BA Semester 1,A,BA105,Business Communication - Week 7,Professional mock content for Business Communication,PDF,,,https://files.scholaris.demo.edu/content/ba105-55.pdf
assessment,2026-27,FAC020,BA Semester 2,B,BA201,Principles of Management II - Week 8,Professional mock content for Principles of Management II,Quiz,25,2026-09-17,https://files.scholaris.demo.edu/content/ba201-56.pdf
assignment,2026-27,FAC021,BA Semester 2,A,BA202,Business Economics II - Week 1,Professional mock content for Business Economics II,Assignment,30,2026-09-18,https://files.scholaris.demo.edu/content/ba202-57.pdf
material,2026-27,FAC022,BA Semester 2,B,BA203,Business Mathematics II - Week 2,Professional mock content for Business Mathematics II,PDF,,,https://files.scholaris.demo.edu/content/ba203-58.pdf
assessment,2026-27,FAC023,BA Semester 2,A,BA204,Organizational Behaviour II - Week 3,Professional mock content for Organizational Behaviour II,Quiz,40,2026-09-20,https://files.scholaris.demo.edu/content/ba204-59.pdf
assignment,2026-27,FAC024,BA Semester 2,B,BA205,Business Communication II - Week 4,Professional mock content for Business Communication II,Assignment,25,2026-09-01,https://files.scholaris.demo.edu/content/ba205-60.pdf
